no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,lead_time,arrival_month,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,room_type_reserved_Room_Type 2,room_type_reserved_Room_Type 3,room_type_reserved_Room_Type 4,room_type_reserved_Room_Type 5,room_type_reserved_Room_Type 6,room_type_reserved_Room_Type 7,booking_status_Not_Canceled
2,0,1,2,224,10,0,0,0,65.0,0,False,False,False,False,False,False,True
2,0,2,3,5,11,0,0,0,106.68,1,False,False,False,False,False,False,True
1,0,2,1,1,2,0,0,0,60.0,0,False,False,False,False,False,False,False
2,0,0,2,211,5,0,0,0,100.0,0,False,False,False,False,False,False,False
2,0,1,1,48,4,0,0,0,94.5,0,False,False,False,False,False,False,False
2,0,0,2,346,9,0,0,0,115.0,1,False,False,False,False,False,False,False
2,0,1,3,34,10,0,0,0,107.55,1,False,False,False,False,False,False,True
2,0,1,3,83,12,0,0,0,105.61,1,False,False,True,False,False,False,True
3,0,0,4,121,7,0,0,0,96.9,1,False,False,False,False,False,False,True
2,0,0,5,44,10,0,0,0,133.44,3,False,False,True,False,False,False,True
1,0,1,0,0,9,0,0,0,85.03,0,False,False,False,False,False,False,True
1,0,2,1,35,4,0,0,0,140.4,1,False,False,True,False,False,False,True
2,0,2,1,30,11,0,0,0,88.0,0,False,False,False,False,False,False,False
1,0,2,0,95,11,0,0,0,90.0,2,False,False,False,False,False,False,False
2,0,0,2,47,10,0,0,0,94.5,2,False,False,False,False,False,False,True
2,0,0,2,256,6,0,0,0,115.0,1,False,False,False,False,False,False,False
1,0,1,0,0,10,0,0,0,96.0,0,False,False,False,False,False,False,True
2,0,1,3,1,8,0,0,0,96.0,1,False,False,False,False,False,False,True
2,0,2,2,99,10,0,0,0,65.0,0,False,False,False,False,False,False,False
2,0,1,0,12,10,0,0,0,72.0,0,False,False,False,False,False,False,True
2,0,2,2,99,10,0,0,0,65.0,0,False,False,False,False,False,False,False
1,0,0,1,122,11,0,0,0,67.0,0,False,False,False,False,False,False,True
2,0,2,4,2,3,0,0,0,85.0,0,False,False,False,False,False,False,True
2,0,0,3,37,10,0,0,0,105.0,0,False,False,False,False,False,False,True
2,0,2,1,130,5,0,0,0,94.5,1,False,False,False,False,False,False,True
2,0,0,2,99,4,0,0,0,114.3,1,False,False,False,False,False,False,True
2,0,1,1,60,9,0,0,0,65.0,0,False,False,False,False,False,False,True
1,0,0,2,2,5,0,0,0,110.0,0,False,False,True,False,False,False,False
1,0,1,2,37,11,0,0,0,37.33,0,False,False,False,False,False,False,False
2,0,0,2,56,9,0,0,0,82.0,0,False,False,False,False,False,False,True
2,0,1,1,3,9,0,0,0,177.5,1,False,False,True,False,False,False,True
2,0,2,2,107,11,0,0,0,87.5,1,False,False,False,False,False,False,True
0,2,0,3,56,12,0,0,0,82.44,1,True,False,False,False,False,False,True
2,0,0,1,2,1,0,0,0,69.5,1,False,False,False,False,False,False,True
2,0,0,2,72,10,0,0,0,85.5,0,False,False,False,False,False,False,True
2,0,0,1,23,4,0,0,0,115.0,1,False,False,False,False,False,False,True
1,0,2,1,34,6,0,0,0,81.0,0,False,False,False,False,False,False,False
2,0,0,1,289,10,0,0,0,67.0,0,False,False,False,False,False,False,True
2,0,2,3,247,11,0,0,0,63.75,0,False,False,False,False,False,False,False
2,0,2,1,186,7,0,0,0,121.8,1,False,False,True,False,False,False,False
2,0,0,4,64,11,0,0,0,93.6,2,False,False,False,False,False,False,True
2,0,0,2,35,6,0,0,0,102.0,1,False,False,False,False,False,False,True
3,0,2,1,96,4,0,0,0,121.8,1,False,False,False,False,False,False,True
2,0,1,1,41,6,0,0,0,98.1,1,False,False,False,False,False,False,False
2,0,0,4,55,11,0,0,0,60.0,1,False,False,True,False,False,False,True
2,0,0,3,146,12,0,0,0,75.0,0,False,False,False,False,False,False,True
1,0,0,2,32,11,0,0,0,73.0,0,False,False,False,False,False,False,True
2,0,0,1,55,4,0,0,0,104.0,0,False,False,False,False,False,False,True
2,0,0,4,57,11,0,0,0,79.2,1,False,False,False,False,False,False,True
1,0,1,3,7,12,0,0,0,125.8,2,False,False,True,False,False,False,True
1,0,2,5,124,5,0,0,0,87.95,0,False,False,False,False,False,False,True
2,0,2,2,169,4,0,0,0,106.0,0,False,False,False,False,False,False,False
1,0,1,2,6,5,0,0,0,136.67,1,False,False,False,False,False,False,True
2,0,0,4,51,11,0,0,0,60.0,1,False,False,True,False,False,False,True
2,0,1,0,13,6,0,0,0,89.0,2,False,False,False,False,False,False,True
2,0,1,3,100,5,0,0,0,136.0,1,False,False,False,False,False,False,True
2,0,0,1,139,7,0,0,0,94.5,1,False,False,False,False,False,False,True
2,0,1,2,117,12,0,0,0,93.6,2,False,False,False,False,False,False,True
2,0,1,4,39,4,0,0,0,120.6,0,False,False,True,False,False,False,False
2,0,0,3,86,4,0,0,0,99.3,1,False,False,True,False,False,False,True
2,2,0,1,2,9,0,0,0,258.0,1,False,False,False,False,True,False,True
1,0,0,3,19,5,0,0,0,120.12,2,False,False,True,False,False,False,True
1,0,0,2,192,6,0,0,0,95.0,0,False,False,False,False,False,False,True
1,0,0,1,2,9,0,0,0,0.0,1,False,False,False,False,False,False,True
2,0,2,1,86,12,0,0,0,75.0,0,False,False,False,False,False,False,True
2,0,0,3,30,10,0,0,0,157.5,2,False,False,True,False,False,False,True
2,0,0,2,179,6,0,0,0,97.7,1,False,False,True,False,False,False,True
2,0,0,2,26,4,0,0,0,142.0,0,False,False,True,False,False,False,False
2,0,0,1,55,4,0,0,0,80.0,0,False,False,False,False,False,False,True
2,0,1,2,74,4,0,0,0,85.5,1,False,False,False,False,False,False,True
2,0,0,3,143,8,0,0,0,100.0,0,False,False,False,False,False,False,True
2,0,1,0,34,11,0,0,0,88.0,2,False,False,False,False,False,False,True
2,0,1,1,30,8,0,0,0,122.85,1,False,False,False,False,False,False,True
2,0,0,2,177,6,0,0,0,100.0,0,False,False,False,False,False,False,False
2,0,2,3,34,10,0,0,0,75.0,0,False,False,True,False,False,False,True
2,0,1,4,18,3,0,0,0,116.8,1,False,False,True,False,False,False,True
3,0,1,1,267,12,0,0,0,121.5,0,False,False,True,False,False,False,True
2,0,1,2,64,6,0,0,0,111.9,1,False,False,False,False,False,False,True
3,0,2,5,155,6,0,0,0,121.55,2,False,False,True,False,False,False,False
2,0,0,5,46,3,0,0,0,75.0,1,False,False,False,False,False,False,True
2,2,0,2,83,4,0,0,0,159.3,0,False,False,False,False,True,False,False
2,0,0,5,128,10,0,0,0,132.3,0,False,False,True,False,False,False,False
2,0,2,0,20,12,0,0,0,88.0,2,False,False,False,False,False,False,True
2,0,1,4,40,3,0,0,0,98.82,0,False,False,True,False,False,False,True
2,0,1,2,46,3,0,0,0,98.3,1,False,False,True,False,False,False,True
1,0,1,0,1,10,0,0,0,150.0,2,False,False,False,False,False,False,True
2,0,2,3,196,9,0,0,0,96.05,1,False,False,False,False,False,False,True
1,0,0,2,188,6,0,0,0,130.0,0,False,False,False,False,False,False,False
2,0,0,1,17,12,1,0,5,95.0,0,False,False,False,False,False,False,True
2,0,0,3,146,8,0,0,0,113.56,0,False,False,False,True,False,False,True
2,0,1,3,110,5,0,0,0,101.58,1,False,False,False,False,False,False,True
2,0,1,2,68,3,0,0,0,105.3,0,False,False,False,False,False,False,True
2,0,2,1,73,4,0,0,0,115.8,1,False,False,True,False,False,False,True
2,0,0,1,92,5,0,0,0,149.4,1,False,False,True,False,False,False,True
2,0,2,5,171,8,0,0,0,111.59,0,False,False,False,False,False,False,False
2,1,0,2,134,8,0,0,0,130.5,2,False,False,False,False,False,False,True
2,0,0,2,320,8,0,0,0,115.0,1,False,False,False,False,False,False,False
2,0,0,4,118,4,0,0,0,90.95,1,False,False,False,False,False,False,True
2,0,0,3,30,11,0,0,0,76.08,1,False,False,False,False,False,False,True
2,2,1,3,30,12,0,0,0,156.9,0,False,False,False,False,True,False,True
2,0,1,0,189,10,0,0,0,85.5,2,False,False,False,False,False,False,True
3,0,1,2,55,5,0,0,0,159.3,2,False,False,True,False,False,False,True
1,0,0,4,55,12,0,0,0,74.8,2,False,False,False,False,False,False,True
2,0,0,1,16,10,0,0,0,95.0,1,False,False,False,False,False,False,True
2,0,0,3,24,10,0,0,0,107.0,1,False,False,False,False,False,False,True
2,0,0,3,8,2,0,0,0,64.0,0,False,False,False,False,False,False,True
2,0,1,4,10,11,0,0,0,82.95,0,False,False,False,False,False,False,True
2,0,1,3,0,9,0,0,0,155.0,1,False,False,True,False,False,False,True
2,0,0,1,12,6,0,0,0,101.68,1,False,False,False,False,False,False,True
2,0,2,1,32,9,0,0,0,94.5,3,False,False,False,False,False,False,True
2,0,0,2,182,9,0,0,0,117.9,2,False,False,False,False,False,False,False
2,0,1,0,1,6,0,0,0,127.0,1,False,False,False,False,False,False,True
2,0,0,3,122,6,0,0,0,116.1,2,False,False,False,False,False,False,True
2,0,2,3,40,6,0,0,0,117.9,1,False,False,False,False,False,False,True
2,2,2,2,116,6,0,0,0,184.24,1,True,False,False,False,False,False,False
3,0,2,2,123,8,0,0,0,155.7,1,False,False,True,False,False,False,True
3,0,2,5,40,4,0,0,0,135.76,0,False,False,True,False,False,False,False
2,1,2,5,105,11,0,0,0,102.83,3,False,False,False,False,False,False,True
2,0,0,1,443,4,0,0,0,65.0,0,False,False,False,False,False,False,False
2,0,2,3,2,11,0,0,0,103.0,1,False,False,False,False,False,False,True
2,0,0,3,317,9,0,0,0,106.2,1,False,False,False,False,False,False,False
2,0,0,2,286,9,0,0,0,58.5,0,False,False,False,False,False,False,True
2,0,1,3,68,3,0,0,0,73.95,0,False,False,False,False,False,False,False
2,0,0,3,148,5,0,0,0,105.3,0,False,False,False,False,False,False,True
3,0,2,0,68,4,0,0,0,133.2,2,False,False,True,False,False,False,True
2,0,0,2,30,3,0,0,0,85.5,0,False,False,False,False,False,False,True
1,0,0,1,14,11,0,0,0,112.0,1,False,False,False,False,False,False,False
2,2,0,2,110,10,0,0,0,190.8,0,False,False,False,False,True,False,False
1,0,2,3,117,6,0,0,0,110.0,0,False,False,False,False,False,False,True
2,0,1,4,85,7,0,0,0,91.48,1,False,False,True,False,False,False,True
2,0,0,2,1,10,0,0,0,135.0,2,False,False,False,False,False,False,True
1,0,1,2,25,10,0,0,0,129.0,2,False,False,False,False,False,False,True
2,0,2,4,289,12,0,0,0,70.55,2,False,False,False,False,False,False,False
2,0,1,4,28,10,0,0,0,75.0,0,False,False,True,False,False,False,True
1,0,0,4,80,3,0,0,0,72.25,0,False,False,False,False,False,False,True
2,0,0,1,11,10,0,0,0,155.0,2,False,False,True,False,False,False,True
2,1,1,0,162,7,0,0,0,121.5,2,False,False,False,False,False,False,False
2,0,2,5,155,6,0,0,0,90.95,2,False,False,False,False,False,False,True
1,0,2,2,82,5,0,0,0,109.65,0,False,False,False,False,False,False,True
3,0,2,4,27,4,0,0,0,142.72,0,False,False,True,False,False,False,False
1,0,1,2,13,5,0,0,0,90.0,0,False,False,False,False,False,False,True
2,0,0,2,245,6,0,0,0,75.0,0,False,False,False,False,False,False,False
2,0,0,2,11,11,0,0,0,111.0,1,False,False,False,False,False,False,False
2,0,2,2,266,10,0,0,0,86.7,2,False,False,False,False,False,False,True
2,0,1,0,39,3,0,0,0,117.9,1,False,False,False,False,False,False,True
1,0,0,2,13,6,1,3,5,0.0,1,False,False,False,False,False,False,True
2,0,0,4,112,5,0,0,0,101.58,1,False,False,False,False,False,False,True
2,0,1,2,88,4,0,0,0,58.9,1,False,False,False,False,False,False,True
2,0,0,1,56,6,0,0,0,120.0,0,False,False,False,False,False,False,True
2,0,2,3,73,4,0,0,0,107.1,0,False,False,True,False,False,False,False
2,0,1,1,80,5,0,0,0,126.9,1,False,False,False,False,False,False,True
2,0,0,3,130,9,0,0,0,139.5,2,False,False,True,False,False,False,False
2,0,1,3,69,4,0,0,0,80.75,1,False,False,False,False,False,False,True
2,0,0,2,273,7,0,0,0,109.0,0,False,False,False,False,False,False,False
2,0,0,1,55,4,0,0,0,104.0,0,False,False,False,False,False,False,True
1,0,0,3,4,11,1,1,5,65.0,1,False,False,False,False,False,False,True
2,0,0,3,97,5,0,0,0,140.4,0,False,False,True,False,False,False,True
2,0,0,3,44,2,0,0,0,75.0,0,False,False,False,False,False,False,True
2,0,0,1,31,4,0,0,0,94.5,0,False,False,False,False,False,False,False
2,0,1,0,0,6,0,0,0,109.0,0,False,False,False,False,False,False,True
2,0,2,2,62,11,0,0,0,105.0,2,False,False,False,False,False,False,True
2,0,2,2,86,4,0,0,0,107.95,1,False,False,True,False,False,False,True
3,0,2,2,3,10,0,0,0,215.6,1,False,False,False,False,False,True,True
2,0,1,1,197,8,0,0,0,85.5,1,False,False,False,False,False,False,True
2,0,0,2,143,7,0,0,0,105.3,2,False,False,False,False,False,False,True
1,0,2,1,23,1,0,0,0,1.0,0,False,False,False,False,False,False,True
2,0,0,2,8,6,0,0,0,156.0,0,False,False,True,False,False,False,False
1,0,0,2,13,11,0,0,0,73.15,1,False,False,False,False,False,False,True
2,0,1,2,280,9,0,0,0,110.0,0,False,False,False,False,False,False,False
2,1,1,0,11,9,0,0,0,87.4,1,False,False,False,False,False,False,True
2,0,0,2,317,9,0,0,0,120.0,0,False,False,False,False,False,False,False
2,0,1,2,185,12,0,0,0,79.2,0,False,False,False,False,False,False,False
2,0,1,3,160,6,0,0,0,90.95,1,False,False,False,False,False,False,True
