quality,alcohol,sulphates,citric acid,volatile acidity
5,9.4,0.56,0.0,0.7
5,9.8,0.68,0.0,0.88
5,9.8,0.65,0.04,0.76
6,9.8,0.58,0.56,0.28
5,9.4,0.56,0.0,0.7
5,9.4,0.56,0.0,0.66
5,9.4,0.46,0.06,0.6
7,10.0,0.47,0.0,0.65
7,9.5,0.57,0.02,0.58
5,9.2,0.54,0.08,0.58
5,9.9,0.52,0.0,0.615
5,9.1,1.56,0.29,0.61
7,10.5,0.75,0.56,0.28
6,9.2,1.08,0.51,0.32
5,9.7,0.65,0.31,0.39
5,9.5,0.91,0.21,0.43
5,9.4,0.53,0.11,0.49
6,9.7,0.63,0.14,0.4
5,9.3,0.56,0.16,0.39
5,9.5,0.59,0.24,0.41
5,9.4,0.55,0.0,0.71
6,9.8,0.59,0.0,0.645
5,10.1,0.54,0.07,0.675
5,9.8,0.66,0.12,0.655
5,9.2,0.55,0.25,0.32
6,9.6,0.55,0.0,0.645
6,10.8,0.6,0.14,0.6
7,9.7,0.73,0.28,0.38
5,10.5,0.83,0.36,0.45
4,9.3,0.51,0.3,0.61
6,10.5,0.9,0.2,0.49
5,10.3,1.2,0.22,0.66
4,13.1,0.56,0.15,0.52
5,9.2,0.73,0.43,0.935
5,9.2,0.74,0.26,0.66
6,9.4,0.63,0.04,0.52
6,9.4,0.64,0.04,0.5
5,9.4,0.56,0.36,0.38
6,10.2,0.63,0.15,0.51
5,9.6,0.63,0.57,0.42
5,10.0,0.59,0.18,0.59
6,9.4,0.54,0.31,0.39
5,9.2,0.64,0.4,0.4
5,9.3,0.71,0.49,0.69
5,9.8,0.57,0.05,0.735
5,10.9,0.39,0.05,0.725
5,10.9,0.39,0.05,0.725
5,10.7,0.58,0.07,0.705
6,10.5,0.95,0.05,0.705
5,9.5,0.48,0.22,0.69
4,9.2,0.53,0.26,0.675
5,10.5,0.66,0.64,0.41
6,10.7,0.55,0.0,0.785
5,10.1,0.52,0.12,0.75
4,9.1,1.12,0.2,0.625
5,9.2,0.56,0.2,0.45
