Open,High,Low,Close,Adj Close
13.9,13.95,13.25,13.8,6.744438
14.0,14.6,13.9,14.3,6.988804
14.3,14.55,13.8,14.25,6.964368
14.3,14.3,13.8,13.8,6.744438
13.7,13.8,13.0,13.5,6.597822
13.3,13.4,12.65,12.75,6.231275
12.5,12.7,11.5,12.45,6.084657
12.2,12.5,10.95,11.05,5.400439
10.2,10.5,8.2,9.15,4.471857
9.7,11.0,9.65,10.6,5.180513
11.4,13.1,11.2,12.65,6.1824
13.2,13.3,12.0,12.05,5.889166
11.3,12.5,11.1,12.5,6.109092
12.3,12.75,11.9,12.1,5.913602
11.5,11.8,11.0,11.6,5.669239
11.3,11.45,10.95,11.0,5.376003
9.5,9.65,8.5,9.25,4.52073
9.95,10.5,9.3,9.35,4.569602
10.1,10.2,9.0,9.1,4.44742
8.8,9.05,8.4,8.9,4.349673
8.8,8.8,7.75,7.9,3.860946
8.55,8.7,7.9,8.05,3.934257
8.05,8.25,7.85,8.15,3.983128
8.3,9.05,8.2,9.0,4.398548
9.55,10.0,9.4,9.8,4.78953
9.4,9.5,9.05,9.35,4.569602
9.0,9.3,8.85,9.05,4.422983
9.1,9.25,9.0,9.1,4.44742
9.25,9.35,8.55,8.6,4.203057
8.55,8.75,8.25,8.3,4.056437
8.3,8.8,8.2,8.6,4.203057
8.65,9.1,8.55,8.75,4.276367
8.9,9.2,8.8,9.1,4.44742
9.4,9.45,8.9,8.9,4.349673
8.7,8.9,8.45,8.65,4.227492
8.7,9.1,8.5,9.0,4.398548
9.0,9.0,8.6,8.65,4.227492
8.6,8.85,8.4,8.55,4.17862
8.15,8.35,8.0,8.1,3.958693
8.35,8.4,7.25,7.5,3.665455
7.35,7.55,7.2,7.5,3.665455
7.6,7.7,7.25,7.6,3.714329
8.0,8.2,7.8,7.9,3.860946
7.95,8.4,7.8,8.3,4.056437
8.7,8.9,8.4,8.55,4.17862
9.0,9.2,8.75,8.85,4.325239
8.85,9.4,8.75,9.35,4.569602
9.4,9.4,8.65,8.75,4.276367
8.6,9.0,8.55,8.9,4.349673
9.05,9.15,8.9,9.05,4.422983
8.9,9.05,8.8,8.85,4.325239
9.0,9.05,8.7,8.8,4.300801
8.85,8.9,8.5,8.55,4.17862
8.5,8.6,8.0,8.25,4.032001
8.25,8.4,8.15,8.2,4.007565
8.5,8.5,8.15,8.15,3.983128
8.1,8.35,8.0,8.2,4.007565
8.25,8.3,7.9,7.9,3.860946
7.8,8.25,7.7,8.0,3.909821
8.0,8.05,7.8,7.8,3.820671
8.0,8.0,7.6,7.65,3.747196
7.65,7.7,7.45,7.6,3.722705
7.65,7.95,7.55,7.6,3.722705
7.5,7.6,7.45,7.55,3.698215
7.6,7.65,7.4,7.45,3.649232
7.45,7.7,7.4,7.45,3.649232
7.45,7.7,7.4,7.65,3.747196
7.55,7.65,7.15,7.3,3.575756
7.35,7.4,6.9,7.15,3.502281
7.15,7.45,7.0,7.3,3.575756
7.25,7.7,7.2,7.7,3.771687
7.85,7.95,7.7,7.95,3.894145
8.1,8.4,8.0,8.05,3.943129
8.3,8.35,7.65,7.75,3.79618
8.45,8.6,8.0,8.15,3.99211
8.2,8.6,7.95,8.45,4.13906
8.2,8.6,7.95,8.45,4.13906
