,price,sqft_living,grade,sqft_above,sqft_living15,bathrooms,view,sqft_basement,bedrooms,lat,waterfront,floors
0,221900.0,1180,7,1180,1340,1.0,0,0,3,47.5112,0,1.0
1,538000.0,2570,7,2170,1690,2.25,0,400,3,47.721,0,2.0
2,180000.0,770,6,770,2720,1.0,0,0,2,47.7379,0,1.0
3,604000.0,1960,7,1050,1360,3.0,0,910,4,47.5208,0,1.0
4,510000.0,1680,8,1680,1800,2.0,0,0,3,47.6168,0,1.0
5,1225000.0,5420,11,3890,4760,4.5,0,1530,4,47.6561,0,1.0
6,257500.0,1715,7,1715,2238,2.25,0,0,3,47.3097,0,2.0
7,291850.0,1060,7,1060,1650,1.5,0,0,3,47.4095,0,1.0
8,229500.0,1780,7,1050,1780,1.0,0,730,3,47.5123,0,1.0
9,323000.0,1890,7,1890,2390,2.5,0,0,3,47.3684,0,2.0
10,662500.0,3560,8,1860,2210,2.5,0,1700,3,47.6007,0,1.0
11,468000.0,1160,7,860,1330,1.0,0,300,2,47.69,0,1.0
12,310000.0,1430,7,1430,1780,1.0,0,0,3,47.7558,0,1.5
13,400000.0,1370,7,1370,1370,1.75,0,0,3,47.6127,0,1.0
14,530000.0,1810,7,1810,1360,2.0,0,0,5,47.67,0,1.5
15,650000.0,2950,9,1980,2140,3.0,3,970,4,47.5714,0,2.0
16,395000.0,1890,7,1890,1890,2.0,0,0,3,47.7277,0,2.0
17,485000.0,1600,7,1600,1610,1.0,0,0,4,47.6648,0,1.5
18,189000.0,1200,7,1200,1060,1.0,0,0,2,47.3089,0,1.0
19,230000.0,1250,7,1250,1280,1.0,0,0,3,47.3343,0,1.0
20,385000.0,1620,7,860,1400,1.75,0,760,4,47.7025,0,1.0
21,2000000.0,3050,9,2330,4110,2.75,4,720,3,47.5316,0,1.0
22,285000.0,2270,8,2270,2240,2.5,0,0,5,47.3266,0,2.0
23,252700.0,1070,7,1070,1220,1.5,0,0,2,47.3533,0,1.0
24,329000.0,2450,8,2450,2200,2.25,0,0,3,47.3739,0,2.0
25,233000.0,1710,6,1710,1030,2.0,0,0,3,47.3048,0,1.5
26,937000.0,2450,8,1750,1760,1.75,0,700,3,47.6386,0,2.0
27,667000.0,1400,8,1400,1860,1.0,0,0,3,47.6221,0,1.5
28,438000.0,1520,7,790,1520,1.75,0,730,3,47.695,0,1.0
29,719000.0,2570,8,2570,2630,2.5,0,0,4,47.7073,0,2.0
30,580500.0,2320,8,2320,2580,2.5,0,0,3,47.5391,0,2.0
31,280000.0,1190,7,1190,1390,1.5,0,0,2,47.7274,0,3.0
32,687500.0,2330,7,1510,1460,1.75,0,820,4,47.6823,0,1.5
33,535000.0,1090,8,1090,1570,1.0,0,0,3,47.6889,0,1.5
34,322500.0,2060,7,1280,2020,2.75,0,780,4,47.4276,0,1.0
35,696000.0,2300,8,1510,1590,2.5,0,790,3,47.6827,0,1.5
36,550000.0,1660,5,930,2160,1.0,0,730,4,47.6621,0,1.0
37,640000.0,2360,8,2360,1730,2.0,0,0,4,47.6702,0,2.0
38,240000.0,1220,7,890,1290,1.0,0,330,4,47.3341,0,1.0
39,605000.0,2620,8,2620,2620,2.5,0,0,4,47.5301,0,2.0
40,625000.0,2570,9,2570,2470,2.5,0,0,4,47.6145,0,2.0
41,775000.0,4220,8,2600,2410,2.25,0,1620,4,47.445,0,1.0
42,861990.0,3595,9,3595,3625,2.75,0,0,5,47.6848,0,2.0
43,685000.0,1570,7,1570,1580,1.0,0,0,3,47.6413,0,2.0
44,309000.0,1280,6,920,1340,1.0,0,360,3,47.4485,0,1.0
45,488000.0,3160,8,3160,3050,2.5,0,0,3,47.7443,0,2.0
46,210490.0,990,6,990,1228,1.0,0,0,3,47.3066,0,1.0
47,785000.0,2290,9,2290,2680,2.5,0,0,4,47.6194,0,2.0
48,450000.0,1250,7,1250,970,1.75,0,0,3,47.6796,0,1.0
49,1350000.0,2753,9,2165,2680,2.5,2,588,3,47.4041,1,1.0
50,228000.0,1190,7,1190,1190,1.0,0,0,3,47.4258,0,1.0
51,345000.0,3150,8,1640,1990,2.5,0,1510,5,47.4934,0,1.0
52,600000.0,1410,7,1000,1410,1.75,0,410,3,47.6808,0,1.0
53,585000.0,1980,7,990,1480,1.75,0,990,2,47.6989,0,1.0
54,920000.0,2730,8,2130,2730,2.25,0,600,5,47.6571,0,1.5
55,885000.0,2830,9,2830,1950,2.5,0,0,4,47.6597,0,2.0
56,292500.0,2250,7,2250,2250,2.5,0,0,4,47.3663,0,2.0
57,301000.0,2420,8,2420,2690,2.5,0,0,3,47.3663,0,2.0
58,951000.0,3250,8,3250,2960,3.25,4,0,5,47.588,0,2.0
59,430000.0,1850,8,1850,2270,3.0,0,0,4,47.5059,0,2.0
60,650000.0,2150,8,1590,2570,2.25,3,560,3,47.4336,0,1.0
61,289000.0,1260,7,1260,1290,1.75,0,0,3,47.4366,0,1.0
62,505000.0,2519,8,2519,2500,1.75,0,0,3,47.4428,0,2.0
63,549000.0,1540,8,1540,1580,1.75,0,0,3,47.6765,0,3.0
64,425000.0,1660,7,1110,1440,2.25,0,550,3,47.6113,0,1.0
65,317625.0,2770,7,1770,1440,2.75,0,1000,3,47.5747,0,1.5
66,975000.0,2720,10,2720,2750,2.5,0,0,4,47.5815,0,2.0
67,287000.0,2240,7,2240,2221,2.5,0,0,4,47.3378,0,2.0
68,204000.0,1000,7,1000,1010,1.0,0,0,3,47.3621,0,1.0
69,1325000.0,3200,8,1600,3390,2.25,0,1600,5,47.6303,0,1.0
70,1040000.0,4770,11,3070,3530,3.25,0,1700,5,47.6525,0,1.0
71,325000.0,1260,7,1260,1640,2.0,0,0,3,47.7362,0,1.0
72,571000.0,2750,7,2250,1510,2.0,0,500,4,47.7168,0,1.5
73,360000.0,2380,8,2380,2420,2.5,0,0,4,47.3608,0,2.0
74,349000.0,1790,7,1090,1940,1.75,0,700,3,47.3511,0,1.0
75,832500.0,3430,10,2390,3240,4.0,0,1040,4,47.5822,0,2.0
76,380000.0,1760,7,880,1680,1.75,0,880,4,47.6034,0,1.0
77,480000.0,1040,7,1040,890,1.0,0,0,3,47.5636,0,1.0
78,410000.0,1410,7,910,1130,1.0,0,500,3,47.7073,0,1.0
79,720000.0,3450,10,3450,3350,2.5,0,0,4,47.342,0,2.0
80,390000.0,2350,8,2350,2350,2.5,0,0,3,47.3512,0,2.0
81,360000.0,1900,7,1900,1870,2.5,0,0,4,47.349,0,2.0
82,355000.0,2020,7,1010,1720,1.0,0,1010,2,47.5474,0,1.0
83,356000.0,1680,8,1680,1850,1.5,0,0,3,47.4811,0,1.0
84,315000.0,960,6,960,1570,1.0,0,0,3,47.7264,0,1.0
85,940000.0,2140,9,1900,2020,1.5,0,240,3,47.6337,0,2.0
86,305000.0,2660,7,2660,1590,2.25,0,0,5,47.2909,0,1.5
87,461000.0,2770,9,1980,1900,3.25,0,790,3,47.5228,0,2.0
88,215000.0,1610,7,1610,1950,2.25,0,0,2,47.518,0,2.0
89,335000.0,1030,7,765,1030,1.75,0,265,2,47.5394,0,2.0
90,243500.0,1980,7,1980,1980,2.5,0,0,4,47.2897,0,2.0
91,1099880.0,3520,10,3520,2520,2.75,0,0,5,47.6506,0,2.0
92,153000.0,1200,7,1200,1350,1.0,0,0,3,47.322,0,1.0
93,430000.0,1580,8,1290,1570,1.5,0,290,3,47.687,0,1.0
94,700000.0,1580,8,1290,1570,1.5,0,290,3,47.687,0,1.0
95,905000.0,3300,7,2390,1950,2.5,0,910,4,47.5873,0,1.0
96,247500.0,1960,7,1960,1750,1.75,0,0,3,47.3576,0,1.0
97,199000.0,1160,7,1160,1160,1.5,0,0,4,47.3036,0,1.0
98,314000.0,1810,7,1210,1650,1.75,0,600,3,47.4109,0,1.0
99,437500.0,2320,9,2320,2550,2.5,2,0,3,47.4838,0,2.0
100,850830.0,2070,9,1270,2200,2.5,0,800,3,47.6415,0,1.5
101,555000.0,1980,7,1440,1610,2.0,0,540,3,47.6775,0,1.5
102,699950.0,2190,8,2190,2570,2.25,0,0,3,47.7731,0,2.0
103,1088000.0,2920,8,2920,2370,2.5,0,0,3,47.5814,0,2.0
104,290000.0,1210,7,1210,1640,1.0,0,0,3,47.4375,0,1.0
105,375000.0,2340,8,1460,2250,2.5,0,880,3,47.4431,0,1.0
106,460000.0,1670,7,1170,1240,1.0,0,500,3,47.6878,0,1.5
107,188500.0,1240,8,1240,1270,1.75,0,0,2,47.3813,0,1.0
108,680000.0,3140,10,3140,2990,2.5,0,0,4,47.7304,0,2.0
109,470000.0,2030,7,2030,2500,1.75,0,0,5,47.6417,0,2.0
110,597750.0,2310,8,2310,1940,2.5,0,0,4,47.5386,0,2.0
111,570000.0,1260,6,700,1380,1.75,0,560,3,47.6823,0,1.0
112,272500.0,1540,7,1160,1540,1.75,0,380,3,47.3624,0,1.0
113,329950.0,2080,7,1080,2090,1.75,2,1000,3,47.5474,0,1.0
114,480000.0,3230,9,2520,2640,2.5,3,710,4,47.3183,0,2.0
115,740500.0,4380,8,2780,1830,3.5,0,1600,3,47.6981,0,2.0
116,518500.0,1590,8,1590,1620,3.5,0,0,3,47.6824,0,3.0
117,205425.0,880,6,880,1190,1.0,0,0,2,47.5009,0,1.0
118,171800.0,1570,6,1570,1880,2.0,0,0,4,47.4965,0,1.0
119,535000.0,1610,7,1610,1610,1.0,0,0,4,47.587,0,1.5
120,660000.0,2400,8,1560,2340,2.5,2,840,3,47.7728,0,1.0
121,391500.0,1450,7,1450,1580,2.0,0,0,3,47.7288,0,1.0
122,395000.0,770,6,770,1710,1.0,0,0,2,47.6999,0,1.0
123,445000.0,2100,7,1720,1850,1.75,0,380,4,47.5299,0,1.5
124,770000.0,2910,9,2910,2700,2.25,0,0,3,47.6897,0,2.0
125,1450000.0,2750,8,1980,3060,2.75,0,770,4,47.6141,0,1.5
126,445000.0,2100,8,1620,2660,2.25,2,480,3,47.5091,0,1.0
127,260000.0,2160,8,1360,2090,2.25,0,800,4,47.3129,0,1.0
128,822500.0,2320,7,1720,1700,3.5,0,600,5,47.6763,0,2.0
129,430000.0,2070,7,2070,1970,2.5,0,0,4,47.5319,0,2.0
130,212000.0,1060,7,1060,1420,1.75,0,0,3,47.2761,0,1.0
131,660500.0,2010,8,1440,2060,2.25,0,570,4,47.5343,0,1.0
132,784000.0,3950,9,2460,2480,3.5,0,1490,3,47.697,0,1.5
133,453246.0,2010,8,1390,1690,2.5,0,620,3,47.5517,0,2.0
134,675000.0,2140,9,2140,1540,3.5,0,0,4,47.6734,0,3.0
135,199000.0,1320,7,1320,1550,1.75,0,0,3,47.3257,0,1.0
136,220000.0,2020,7,1010,1750,1.75,0,1010,4,47.3309,0,1.0
137,452000.0,2590,8,1340,1550,2.25,0,1250,4,47.7689,0,1.0
138,382500.0,1190,6,1190,1060,1.0,0,0,2,47.7135,0,1.0
139,519950.0,1170,8,1170,1350,2.25,0,0,3,47.6722,0,3.0
140,665000.0,1110,7,1110,1170,1.0,0,0,2,47.6338,0,1.0
141,527700.0,2820,8,1550,2820,2.5,0,1270,5,47.5707,0,1.0
142,205000.0,1610,7,1010,1610,1.0,0,600,3,47.4563,0,1.0
143,420000.0,1060,7,940,1560,1.0,0,120,3,47.7144,0,1.0
144,500000.0,2030,8,1380,2230,2.25,0,650,4,47.5495,0,1.0
145,921500.0,3670,9,3670,2840,2.5,0,0,4,47.7421,0,2.0
146,890000.0,2550,8,2370,2200,1.0,0,180,4,47.6354,0,2.0
147,430000.0,2420,7,2420,1940,2.5,0,0,2,47.5262,0,2.0
148,258000.0,2260,8,1130,1360,2.0,0,1130,5,47.3887,0,1.0
149,511000.0,1430,7,980,1450,1.0,0,450,3,47.6873,0,1.0
150,532170.0,1360,8,1360,1500,2.0,0,0,3,47.6838,0,2.0
151,560000.0,1110,7,1110,1420,1.0,0,0,3,47.655,0,1.5
152,282950.0,1250,7,1250,1680,1.0,0,0,3,47.3255,0,1.0
153,2250000.0,5180,12,3540,3160,3.25,3,1640,4,47.562,0,2.0
154,350000.0,700,7,700,1010,1.0,0,0,1,47.679,0,1.0
155,215000.0,1180,7,1180,1190,1.0,0,0,3,47.4479,0,1.0
156,650000.0,3960,9,2500,2640,3.5,0,1460,5,47.525,0,2.0
157,320000.0,2640,8,1620,1980,2.75,0,1020,4,47.3135,0,1.0
158,247000.0,1270,7,1270,1160,2.0,0,0,3,47.2086,0,1.5
159,320000.0,1760,8,1760,1730,1.75,0,0,4,47.4715,0,1.0
160,255000.0,2060,7,1030,1010,2.25,0,1030,5,47.4877,0,1.0
161,438000.0,1780,7,1780,1200,1.75,0,0,3,47.7171,0,1.0
162,900000.0,3400,10,3400,3400,2.5,0,0,3,47.6012,0,2.0
163,441000.0,1910,7,1160,1710,2.75,0,750,3,47.7319,0,1.0
164,420000.0,2020,7,1010,2110,2.0,0,1010,3,47.4582,0,1.0
165,370000.0,1580,7,1180,1640,1.75,0,400,3,47.7209,0,1.0
166,269950.0,1340,5,700,1830,1.75,0,640,2,47.408,0,1.0
167,807100.0,2680,9,2680,2920,2.5,0,0,4,47.565,0,2.0
168,653000.0,2680,8,1610,2480,2.5,0,1070,3,47.7028,0,1.0
169,371500.0,1370,7,1370,1770,2.0,0,0,3,47.7458,0,1.0
170,284000.0,1560,7,1560,1070,1.75,0,0,3,47.4776,0,1.0
171,272000.0,2160,7,1670,1930,1.75,0,490,3,47.3026,0,1.0
172,313000.0,1340,7,1340,1480,1.5,0,0,3,47.7658,0,1.5
173,917500.0,3880,10,2570,3740,2.5,0,1310,4,47.6477,0,2.0
174,673000.0,2590,8,2590,2260,2.25,0,0,4,47.5619,0,2.0
175,425000.0,1120,8,820,1590,2.5,0,300,3,47.6106,0,2.0
176,399950.0,1970,7,1320,1280,2.75,0,650,5,47.5868,0,1.0
177,385000.0,1220,6,1220,1200,1.0,0,0,3,47.6101,0,1.0
178,269950.0,1950,7,1320,1950,1.5,2,630,3,47.1976,0,1.0
179,330000.0,1350,7,1060,1540,1.0,0,290,2,47.7224,0,1.0
180,260000.0,1670,7,1670,1670,2.5,0,0,3,47.3505,0,2.0
181,470000.0,2380,7,1680,1410,3.0,0,700,4,47.5384,0,1.5
182,589000.0,2440,7,2440,2290,3.0,0,0,4,47.7044,0,2.0
183,163500.0,1050,7,1050,1050,1.5,0,0,2,47.3848,0,2.0
184,835000.0,3130,9,2140,2260,2.75,0,990,4,47.6993,0,2.0
185,1095000.0,4090,10,2090,2540,3.0,2,2000,5,47.6627,0,1.0
186,269000.0,1490,8,1100,2190,1.75,0,390,4,47.3099,0,1.0
187,560000.0,1900,8,1900,2030,2.5,0,0,3,47.62,0,2.0
188,615000.0,1330,6,1330,1330,1.0,0,0,4,47.65,0,1.5
189,585188.0,2230,8,1430,2230,2.25,0,800,3,47.6647,0,1.0
190,305000.0,1650,7,1220,1540,1.75,0,430,3,47.726,0,1.0
191,166950.0,1190,6,1190,1230,1.0,0,0,3,47.4616,0,1.0
192,799000.0,2140,8,2140,2680,2.5,0,0,3,47.5505,0,1.0
193,400000.0,2180,7,1420,1900,2.5,0,760,3,47.7606,0,1.0
194,230000.0,1060,7,1060,1570,1.0,0,0,3,47.7481,0,1.0
195,256883.0,1690,8,1690,2550,2.5,0,0,3,47.2779,0,2.0
196,423000.0,1970,7,1130,1500,2.0,0,840,4,47.5511,0,1.5
197,465000.0,2150,8,2150,1750,2.5,0,0,3,47.5488,0,2.0
198,440000.0,1910,7,1910,2330,2.5,0,0,3,47.5385,0,2.0
199,385000.0,1350,7,1350,1560,1.75,0,0,3,47.4058,0,1.0
200,210000.0,860,6,860,1300,1.0,0,0,3,47.5093,0,1.0
201,297000.0,1940,8,1940,2030,2.5,0,0,3,47.3777,0,2.0
202,470000.0,1010,7,1010,1680,1.0,0,0,3,47.675,0,1.0
203,226500.0,1300,7,900,1430,1.5,0,400,3,47.3025,0,1.0
204,274250.0,910,6,910,1400,1.0,0,0,3,47.4787,0,1.0
205,840000.0,2480,9,1630,2770,1.75,0,850,4,47.5378,0,1.0
206,677900.0,2440,8,2440,2750,2.5,0,0,3,47.7073,0,2.0
207,425000.0,1010,7,1010,1290,1.0,0,0,3,47.5733,0,1.0
208,180250.0,900,6,900,1250,0.75,0,0,2,47.4604,0,1.0
209,464000.0,2300,7,1600,1560,3.0,0,700,6,47.7067,0,2.0
210,320000.0,1550,8,1550,1630,2.25,0,0,4,47.354,0,2.0
211,625504.0,1270,8,1060,1160,2.25,0,210,3,47.6647,0,2.0
212,592500.0,2240,9,2240,2520,2.5,0,0,4,47.6143,0,1.0
213,465000.0,2714,9,2714,2590,2.5,0,0,3,47.3185,0,2.0
214,477000.0,1720,8,1720,2130,2.75,0,0,4,47.5458,0,2.0
215,280000.0,850,6,850,1100,1.0,0,0,2,47.4889,0,1.0
216,1505000.0,3300,9,1870,3836,3.0,3,1430,5,47.5673,0,1.0
217,445838.0,2250,8,2250,1320,2.5,0,0,3,47.5133,0,2.0
218,1072000.0,3900,8,1950,2580,2.25,3,1950,2,47.5884,0,1.0
219,467000.0,1320,8,1320,2120,1.5,0,0,2,47.7145,0,1.0
220,686000.0,2760,10,2760,3070,2.5,0,0,4,47.5836,0,2.0
221,279950.0,1750,7,1350,1900,2.0,0,400,3,47.398,0,1.0
222,527000.0,2330,8,2330,1910,2.25,0,0,4,47.7663,0,2.0
223,325000.0,2220,8,1780,2080,2.25,0,440,3,47.3758,0,1.0
224,328000.0,2020,7,2020,2020,2.25,0,0,3,47.3828,0,2.0
225,390000.0,1250,7,1250,1280,2.25,0,0,3,47.5123,0,1.0
226,479950.0,1510,8,1510,1640,2.0,0,0,2,47.7076,0,1.0
227,264950.0,1720,7,1120,1510,2.25,0,600,4,47.2922,0,1.0
228,235000.0,1430,7,980,1960,1.0,0,450,3,47.4075,0,1.0
229,516500.0,1480,7,1480,2250,2.5,0,0,3,47.6794,0,2.0
230,655000.0,1450,7,1230,2030,1.75,4,220,2,47.4497,1,2.0
231,500000.0,2280,7,2280,2280,2.75,0,0,4,47.5218,0,1.0
232,315000.0,2940,8,1780,2120,2.75,0,1160,6,47.3103,0,1.0
233,213000.0,1000,6,1000,1150,1.0,0,0,2,47.5687,0,1.0
234,475000.0,2480,7,1620,2090,1.5,0,860,3,47.5575,0,1.5
235,1025000.0,3760,10,3760,3430,4.0,0,0,5,47.6489,0,2.0
236,416000.0,2220,7,1640,2070,2.0,0,580,3,47.3459,0,1.0
237,410000.0,1970,7,1670,1510,1.0,0,300,4,47.6136,0,1.5
238,800000.0,3830,10,3530,2920,3.5,0,300,3,47.7641,0,2.0
239,472000.0,4410,9,2350,2600,2.5,2,2060,6,47.3376,0,1.0
240,225000.0,1430,7,1430,1190,1.75,0,0,3,47.3173,0,1.0
241,210000.0,830,6,830,830,1.0,0,0,2,47.5308,0,1.0
242,455000.0,1430,7,1430,1450,1.0,0,0,2,47.6727,0,1.5
243,225000.0,1300,6,1300,1260,1.0,0,0,3,47.3221,0,1.0
244,480000.0,1030,7,790,1390,1.0,2,240,2,47.6779,0,1.0
245,363000.0,2740,9,2740,2570,2.5,0,0,3,47.3076,0,2.0
246,2400000.0,3650,9,1830,3120,2.5,4,1820,4,47.6338,1,1.0
247,181000.0,720,6,720,1150,1.5,0,0,2,47.5218,0,1.0
248,250000.0,2010,7,2010,2010,2.0,0,0,4,47.2785,0,1.0
249,481000.0,1560,6,770,1390,1.75,0,790,3,47.6846,0,1.0
250,260000.0,1810,7,1240,1750,2.0,0,570,3,47.3656,0,1.0
251,455000.0,3360,9,3360,3060,2.5,0,0,4,47.4369,0,2.0
252,415000.0,1510,8,1510,1730,2.25,0,0,3,47.4616,0,2.0
253,349500.0,1400,7,800,1620,1.0,0,600,3,47.5405,0,1.0
254,245000.0,1730,7,1730,1630,2.5,0,0,3,47.3507,0,2.0
255,592500.0,1420,7,1420,1420,2.0,2,0,2,47.6979,0,1.5
256,385000.0,2360,7,1180,1910,1.75,0,1180,4,47.5278,0,1.0
257,315000.0,1580,7,1200,1550,1.75,0,380,3,47.4756,0,1.0
258,255000.0,1230,7,1230,1380,1.0,0,0,3,47.4437,0,1.0
259,693000.0,2460,8,2460,2990,2.5,0,0,4,47.7048,0,2.0
260,780000.0,1660,8,1460,1660,1.0,0,200,3,47.6362,0,1.5
